restaurant_id,name,cuisine,price_range,neighborhood,ambiance,description,rating,latitude,longitude
rest_0000,Cafe Mexican Corner,Mexican,$,Tribeca,Trendy,Mexican restaurant in Tribeca with trendy atmosphere. $ price range.,4.4,40.77319939418114,-73.9401341515803
rest_0001,The Indian Place,Indian,$,SoHo,Outdoor seating,Indian restaurant in SoHo with outdoor seating atmosphere. $ price range.,3.9,40.715601864044245,-73.98440054796637
rest_0002,Dragon Garden,Chinese,$,Midtown,Romantic,Chinese restaurant in Midtown with romantic atmosphere. $ price range.,5.3,40.702058449429586,-73.9030090147838
rest_0003,Kitchen Ethiopian Corner,Ethiopian,$$,Tribeca,Outdoor seating,Ethiopian restaurant in Tribeca with outdoor seating atmosphere. $$ price range.,4.6,40.78324426408004,-73.97876608893218
rest_0004,Kitchen Brazilian Spot,Brazilian,$$$,Downtown,Family-friendly,Brazilian restaurant in Downtown with family-friendly atmosphere. $$$ price range.,3.6,40.73042422429595,-73.94752435683678
rest_0005,The Mediterranean House,Mediterranean,$$,Queens,Cozy,Mediterranean restaurant in Queens with cozy atmosphere. $$ price range.,3.6,40.74319450186421,-73.97087708598019
rest_0006,Bistro Spanish House,Spanish,$,Bronx,Cozy,Spanish restaurant in Bronx with cozy atmosphere. $ price range.,3.2,40.72921446485352,-73.96336381567063
rest_0007,Bistro Brazilian Spot,Brazilian,$,Williamsburg,Fine Dining,Brazilian restaurant in Williamsburg with fine dining atmosphere. $ price range.,4.3,40.74560699842171,-73.92148240386071
rest_0008,Bistro Thai House,Thai,$,Downtown,Romantic,Thai restaurant in Downtown with romantic atmosphere. $ price range.,4.1,40.7592414568862,-73.995354958728
rest_0009,Kitchen Korean Spot,Korean,$,Williamsburg,Trendy,Korean restaurant in Williamsburg with trendy atmosphere. $ price range.,2.9,40.76075448519014,-73.98294758763127
rest_0010,Bistro French House,French,$$$,Bronx,Romantic,French restaurant in Bronx with romantic atmosphere. $$$ price range.,3.5,40.768423302651215,-73.95598475062604
rest_0011,Kitchen French Spot,French,$$,Brooklyn,Fast-casual,French restaurant in Brooklyn with fast-casual atmosphere. $$ price range.,3.8,40.71220382348448,-73.95048230898888
rest_0012,The Ethiopian Corner,Ethiopian,$$,SoHo,Cozy,Ethiopian restaurant in SoHo with cozy atmosphere. $$ price range.,4.7,40.731171107608944,-73.94799319788223
rest_0013,Golden Palace,Chinese,$$$,Williamsburg,Trendy,Chinese restaurant in Williamsburg with trendy atmosphere. $$$ price range.,3.0,40.75467102793433,-73.98151455444744
rest_0014,Kitchen Vietnamese Place,Vietnamese,$$,SoHo,Fast-casual,Vietnamese restaurant in SoHo with fast-casual atmosphere. $$ price range.,4.6,40.7088492502052,-73.98040171375808
rest_0015,Bistro Indian Place,Indian,$$$,Brooklyn,Romantic,Indian restaurant in Brooklyn with romantic atmosphere. $$$ price range.,4.1,40.70452272889106,-73.96746696692368
rest_0016,Kitchen Spanish House,Spanish,$$$,Queens,Family-friendly,Spanish restaurant in Queens with family-friendly atmosphere. $$$ price range.,2.8,40.78287375091519,-73.96432466733064
rest_0017,Imperial Garden,Chinese,$,Brooklyn,Family-friendly,Chinese restaurant in Brooklyn with family-friendly atmosphere. $ price range.,3.4,40.72809345096874,-73.94573039168418
rest_0018,Bistro Spanish House,Spanish,$$$$,Chelsea,Fast-casual,Spanish restaurant in Chelsea with fast-casual atmosphere. $$$$ price range.,4.3,40.70745506436798,-73.90131130633995
rest_0019,The Mexican Spot,Mexican,$$$,SoHo,Cozy,Mexican restaurant in SoHo with cozy atmosphere. $$$ price range.,3.7,40.77722447692967,-73.98012843184658
rest_0020,Bistro German Corner,German,$$,Astoria,Casual,German restaurant in Astoria with casual atmosphere. $$ price range.,4.8,40.777127034668595,-73.99259553482659
rest_0021,Cafe Turkish Corner,Turkish,$,SoHo,Trendy,Turkish restaurant in SoHo with trendy atmosphere. $ price range.,4.7,40.73584657285443,-73.98841309404749
rest_0022,The Greek Spot,Greek,$$,Park Slope,Outdoor seating,Greek restaurant in Park Slope with outdoor seating atmosphere. $$ price range.,4.3,40.73308980248527,-73.9936441649714
rest_0023,Bistro Lebanese Corner,Lebanese,$,Midtown,Cozy,Lebanese restaurant in Midtown with cozy atmosphere. $ price range.,4.8,40.73109823217157,-73.96748166779733
rest_0024,Golden Kitchen,Chinese,$$,Chelsea,Fine Dining,Chinese restaurant in Chelsea with fine dining atmosphere. $$ price range.,4.7,40.78872127425763,-73.95277850748381
rest_0025,Tokyo Garden,Japanese,$$,Brooklyn,Fast-casual,Japanese restaurant in Brooklyn with fast-casual atmosphere. $$ price range.,5.1,40.711959424593836,-73.92867552127771
rest_0026,Cafe Turkish Spot,Turkish,$$$$,Queens,Outdoor seating,Turkish restaurant in Queens with outdoor seating atmosphere. $$$$ price range.,4.3,40.777096717995455,-73.95062044036356
rest_0027,Kitchen Spanish House,Spanish,$$$,Astoria,Outdoor seating,Spanish restaurant in Astoria with outdoor seating atmosphere. $$$ price range.,5.2,40.7522732829382,-73.95724589816415
rest_0028,The Korean Corner,Korean,$$,Midtown,Cozy,Korean restaurant in Midtown with cozy atmosphere. $$ price range.,4.1,40.73143559810763,-73.94914293088354
rest_0029,Cafe Korean House,Korean,$,Midtown,Casual,Korean restaurant in Midtown with casual atmosphere. $ price range.,3.8,40.790756647392605,-73.97507077708511
rest_0030,Dragon House,Chinese,$$$,Midtown,Outdoor seating,Chinese restaurant in Midtown with outdoor seating atmosphere. $$$ price range.,5.2,40.72287981654917,-73.99230200901712
rest_0031,Kitchen Lebanese Corner,Lebanese,$$,Park Slope,Family-friendly,Lebanese restaurant in Park Slope with family-friendly atmosphere. $$ price range.,3.6,40.72897514529138,-73.9838778712746
rest_0032,The Lebanese Place,Lebanese,$$$$,Queens,Fine Dining,Lebanese restaurant in Queens with fine dining atmosphere. $$$$ price range.,4.7,40.780367207689906,-73.9813429941114
rest_0033,The Greek House,Greek,$$$$,Williamsburg,Fast-casual,Greek restaurant in Williamsburg with fast-casual atmosphere. $$$$ price range.,4.3,40.789255899848996,-73.94606577580844
rest_0034,Golden Palace,Chinese,$$$$,Tribeca,Cozy,Chinese restaurant in Tribeca with cozy atmosphere. $$$$ price range.,3.4,40.72279351625419,-73.95728922113737
rest_0035,Cafe Thai Place,Thai,$$,Park Slope,Fast-casual,Thai restaurant in Park Slope with fast-casual atmosphere. $$ price range.,3.7,40.78180147659225,-73.91392694167438
rest_0036,The French Place,French,$$$,Astoria,Romantic,French restaurant in Astoria with romantic atmosphere. $$$ price range.,4.0,40.741741100314876,-73.97778921895292
rest_0037,The Ethiopian House,Ethiopian,$,Downtown,Outdoor seating,Ethiopian restaurant in Downtown with outdoor seating atmosphere. $ price range.,3.8,40.71198653673337,-73.96623848285964
rest_0038,Kitchen Korean Corner,Korean,$$,Williamsburg,Fast-casual,Korean restaurant in Williamsburg with fast-casual atmosphere. $$ price range.,3.9,40.75187906217434,-73.92969810411049
rest_0039,The Spanish Place,Spanish,$,Brooklyn,Upscale,Spanish restaurant in Brooklyn with upscale atmosphere. $ price range.,4.3,40.73636296023793,-73.90282179172792
rest_0040,Kitchen Mediterranean Corner,Mediterranean,$$$$,Manhattan,Upscale,Mediterranean restaurant in Manhattan with upscale atmosphere. $$$$ price range.,2.5,40.728484049437746,-73.99631130526454
rest_0041,The Thai Spot,Thai,$$$,Queens,Casual,Thai restaurant in Queens with casual atmosphere. $$$ price range.,4.0,40.760956433397986,-73.94973209767711
rest_0042,Dragon Garden,Chinese,$,Chelsea,Fast-casual,Chinese restaurant in Chelsea with fast-casual atmosphere. $ price range.,3.8,40.71448948720912,-73.95105472397225
rest_0043,The Turkish Corner,Turkish,$,Brooklyn,Fine Dining,Turkish restaurant in Brooklyn with fine dining atmosphere. $ price range.,4.2,40.79856504541106,-73.97579447284885
rest_0044,The Spanish House,Spanish,$,Chelsea,Romantic,Spanish restaurant in Chelsea with romantic atmosphere. $ price range.,4.9,40.72376375439924,-73.92717836513881
rest_0045,Bistro German Corner,German,$$$,Manhattan,Romantic,German restaurant in Manhattan with romantic atmosphere. $$$ price range.,4.6,40.73677831327193,-73.93676941694065
rest_0046,Kitchen Mediterranean Spot,Mediterranean,$$$$,Brooklyn,Trendy,Mediterranean restaurant in Brooklyn with trendy atmosphere. $$$$ price range.,4.5,40.709028977005445,-73.91646975044108
rest_0047,Sakura Sushi,Japanese,$,Astoria,Bar atmosphere,Japanese restaurant in Astoria with bar atmosphere atmosphere. $ price range.,5.8,40.732078006497176,-73.98134814896001
rest_0048,Cafe Ethiopian Spot,Ethiopian,$$,Park Slope,Trendy,Ethiopian restaurant in Park Slope with trendy atmosphere. $$ price range.,4.1,40.76775643618423,-73.99834121710721
rest_0049,Tokyo House,Japanese,$$,Bronx,Trendy,Japanese restaurant in Bronx with trendy atmosphere. $$ price range.,3.6,40.75120930582993,-73.97735042248021
rest_0050,The Ethiopian Spot,Ethiopian,$$$,Chelsea,Outdoor seating,Ethiopian restaurant in Chelsea with outdoor seating atmosphere. $$$ price range.,3.2,40.76909377381025,-73.96132646536995
rest_0051,The Mexican Corner,Mexican,$$,Manhattan,Fine Dining,Mexican restaurant in Manhattan with fine dining atmosphere. $$ price range.,4.4,40.793672998873674,-73.9862479055854
rest_0052,Bistro Mediterranean Corner,Mediterranean,$$$,Chelsea,Romantic,Mediterranean restaurant in Chelsea with romantic atmosphere. $$$ price range.,3.4,40.792469361827855,-73.9122660646619
rest_0053,The Mediterranean Place,Mediterranean,$$$$,Manhattan,Casual,Mediterranean restaurant in Manhattan with casual atmosphere. $$$$ price range.,3.7,40.725794162771514,-73.93400159539658
rest_0054,Cafe Mediterranean Spot,Mediterranean,$,Downtown,Cozy,Mediterranean restaurant in Downtown with cozy atmosphere. $ price range.,4.2,40.7529650578356,-73.97581477090996
rest_0055,The French House,French,$$$$,Park Slope,Upscale,French restaurant in Park Slope with upscale atmosphere. $$$$ price range.,5.0,40.70931027678059,-73.91027842420468
rest_0056,Zen Ramen,Japanese,$$,Park Slope,Casual,Japanese restaurant in Park Slope with casual atmosphere. $$ price range.,4.2,40.73390297910487,-73.96507904253873
rest_0057,Bistro German House,German,$$,Downtown,Trendy,German restaurant in Downtown with trendy atmosphere. $$ price range.,4.6,40.77259556788702,-73.91028897400474
rest_0058,The Greek Spot,Greek,$$,SoHo,Romantic,Greek restaurant in SoHo with romantic atmosphere. $$ price range.,4.2,40.76420316461543,-73.9915860035005
rest_0059,Cafe Ethiopian Corner,Ethiopian,$$$$,Chelsea,Family-friendly,Ethiopian restaurant in Chelsea with family-friendly atmosphere. $$$$ price range.,4.3,40.716162871409466,-73.91014458114729
rest_0060,Bistro French Place,French,$$$$,Downtown,Family-friendly,French restaurant in Downtown with family-friendly atmosphere. $$$$ price range.,4.2,40.70050615838463,-73.98391919485825
rest_0061,Kitchen Korean House,Korean,$$$,Brooklyn,Fine Dining,Korean restaurant in Brooklyn with fine dining atmosphere. $$$ price range.,3.4,40.75487337893666,-73.93081048023073
rest_0062,Bistro Lebanese Spot,Lebanese,$$,Queens,Fast-casual,Lebanese restaurant in Queens with fast-casual atmosphere. $$ price range.,3.0,40.77121792213475,-73.97627509125032
rest_0063,Kitchen Korean Spot,Korean,$$,Downtown,Romantic,Korean restaurant in Downtown with romantic atmosphere. $$ price range.,4.5,40.732539969815925,-73.9253508594882
rest_0064,Kitchen Mediterranean Spot,Mediterranean,$,Manhattan,Cozy,Mediterranean restaurant in Manhattan with cozy atmosphere. $ price range.,4.8,40.765761289230035,-73.94316913966645
rest_0065,Luigi Trattoria,Italian,$,Manhattan,Family-friendly,Italian restaurant in Manhattan with family-friendly atmosphere. $ price range.,4.3,40.70936747678281,-73.96322841969406
rest_0066,Kitchen Mexican House,Mexican,$$$$,Bronx,Cozy,Mexican restaurant in Bronx with cozy atmosphere. $$$$ price range.,3.3,40.797301055475245,-73.96069022753332
rest_0067,Kitchen Spanish House,Spanish,$$,Manhattan,Casual,Spanish restaurant in Manhattan with casual atmosphere. $$ price range.,3.3,40.78920465551771,-73.93688613740028
rest_0068,The Turkish Spot,Turkish,$$,Bronx,Upscale,Turkish restaurant in Bronx with upscale atmosphere. $$ price range.,4.0,40.757690388462635,-73.95074823061812
rest_0069,Bistro Vietnamese Place,Vietnamese,$,Tribeca,Trendy,Vietnamese restaurant in Tribeca with trendy atmosphere. $ price range.,5.2,40.71952429877981,-73.92775478847385
